Decision,12,Interaction technique,11
Decision,13,Non-language,11
Decision,14,Language,11
Decision,15,DSL,11
Decision,16,Collaboration,11
Decision,17,Community,11
Decision,18,Community support,11
Decision,19,Online access,11
Decision,23,Control flow representation,11
Decision,31,Target user,11
Decision,36,Domain specificity,11
Decision,45,Liveness,11
Decision,55,Automation,11
Decision,4,Discovery,13
Decision,30,Abstraction level,13
Decision,43,Re-use,13
Decision,63,Sharing,13
Decision,42,Documentation,13
Decision,89,Extensions,13
Decision,33,User context,14
Decision,38,Usability,14
Decision,46,Technologies,14
Decision,47,Communication protocol,14
Decision,48,Data retrieval,14
Decision,49,Syndication format,14
Decision,58,Application type,14
Decision,90,Learning curve,14
Decision,39,Prompts / Suggestions,14
Decision,50,Message data format,14
Decision,8,UI composition method,14
Decision,32,User expertise,15
Decision,1,SC Lifecycle Activities,16
Decision,2,Specification,16
Decision,3,Request,16
Decision,5,Discovery mechanism,16
Decision,7,Composition,16
Decision,9,Verification / validation,16
Decision,10,Annotation / deployment,16
Decision,11,Execution,16
Decision,22,Flow representation,17
Decision,24,Data flow representation,17
Decision,51,Service description format,19
Decision,52,Component types,19
Decision,54,Templates,19
Decision,60,Repositories,19
Decision,37,Execution context,20
Decision,61,Infrastructure,20
Decision,62,Topology,20
Decision,6,Discoverable entities,
Decision,20,Composition Representation,
Decision,25,Component links,
Decision,26,Textual links,
Decision,27,Graphical links,
Decision,64,Tool structure,
Decision,40,Internal help systems,
Decision,41,External help systems,
Decision,53,Programming structures,
Decision,56,Composition layer,
Decision,57,Flow present,
Decision,59,Application location,
Decision,65,Composition structure,
Options,20,Dialog / form,11
Options,21,WYSIWYG,11
Options,22,PbD,11
Options,25,Textual DSL,11
Options,26,Full language,11
Options,28,Wiki,11
Options,29,Public,11
Options,30,Private,11
Options,31,PbEM,11
Options,34,Textual,11
Options,36,Explicit control flow,11
Options,37,Implicit control flow,11
Options,44,Form,11
Options,60,Generic,11
Options,63,Specialised,11
Options,80,Level 1,11
Options,81,Level 2,11
Options,82,Level 3,11
Options,83,Level 4,11
Options,101,Full automation,11
Options,102,Semi-automation,11
Options,126,Spreadsheet representation,11
Options,127,WYSIWYG representation,11
Options,128,Textual DSL representation,11
Options,129,Full language representation,11
Options,42,Visual DSL,11
Options,79,Examples,11
Options,132,Visual DSL representation,11
Options,152,Control flow present,11
Options,19,Spreadsheet,11
Options,9,Automatic UI generation,13
Options,12,Visual UI composition,13
Options,13,Textual UI composition,13
Options,15,Debugging,13
Options,27,Forum,13
Options,68,Suggestions,13
Options,69,Help,13
Options,71,VCS,13
Options,73,API / component documentation,13
Options,75,Discussion forums,13
Options,77,Composite ratings,13
Options,123,Data flow present,13
Options,130,Explicit data flow,13
Options,131,Implicit data flow,13
Options,237,Selecting & customising UI,13
Options,238,Extension APIs,13
Options,239,UI composition,13
Options,4,Context-specific suggestions,13
Options,7,Process composition,14
Options,8,Data composition,14
Options,10,Webpage composition,14
Options,11,Widget composition,14
Options,40,Wires,14
Options,53,Consumer/Individual,14
Options,54,Enterprise/Organisation,14
Options,67,Incompatibility prompts,14
Options,84,SOAP,14
Options,85,REST,14
Options,86,RSS,14
Options,87,ATOM,14
Options,88,Widget,14
Options,89,Web scraping,14
Options,240,Low learning curve,14
Options,241,Medium learning curve,14
Options,242,High learning curve,14
Options,243,Framework,14
Options,70,User goal / requirement mapping,14
Options,124,Sharing components,15
Options,51,Technical expert,15
Options,103,No automation,18
Options,16,Code generation,19
Options,17,Interpretation,19
Options,18,Compilation,19
Options,23,Drag & drop,19
Options,32,Blackboard,19
Options,45,Page flow,19
Options,90,JSON,19
Options,91,XML,19
Options,92,WSDL,19
Options,93,WADL,19
Options,94,Triggers,19
Options,95,Actions,19
Options,99,Tool-level,19
Options,100,Composition level,19
Options,115,Component repository,19
Options,116,Composite repository,19
Options,137,JSON message format,19
Options,138,XML message format,19
Options,64,Mobile,20
Options,65,Desktop,20
Options,66,Web,20
Options,117,Ad hoc,20
Options,118,Fixed,20
Options,119,Centralised,20
Options,120,Decentralised,20
Options,134,Mobile context,20
Options,135,Desktop context,20
Options,5,Components,
Options,6,Composites,
Options,33,Icon,
Options,35,Flow diagram component,
Options,41,Non-wire graphics,
Options,43,Flow diagram,
Options,46,High,
Options,47,Average,
Options,48,Low,
Options,50,Domain expert,
Options,61,Context-specific,
Options,62,Domain-specific,
Options,72,Screencasts,
Options,74,Tutorials,
Options,96,Filters,
Options,97,Branches,
Options,98,Loops,
Options,104,Service layer,
Options,105,Application layer,
Options,106,Presentation layer,
Options,125,Sharing composites,
Options,111,Application,
Options,112,Plug-in,
Options,113,Platform,
Options,114,Webpage/webapp,
Options,136,Web context,
Options,163,Tool documentation,
Options,153,Text entry,
Options,151,Other recommendations,
Options,150,Composite reviews,
Options,141,No specification,
Options,142,In-app execution,
Options,143,Blog,
Options,144,External help/FAQ,
Options,145,No link,
Options,146,Text editor,
Options,147,No abstraction,
Options,148,Create new app,
Options,149,Dummy test data,
