57,214
57,122
74,131
75,131
65,100
1,190
3,193
58,122
59,214
60,33
41,205
4,29
4,174
5,128
5,103
6,186
7,187
10,73
11,37
12,99
42,162
42,132
13,73
14,22
15,21
16,81
8,79
47,153
34,120
34,52
35,146
36,134
37,160
38,147
39,111
50,75
29,4
29,216
30,139
76,151
79,27
80,203
88,12
88,8
89,40
89,41
31,114
90,149
91,144
92,63
97,180
98,181
99,189
100,213
17,48
18,32
19,17
20,18
21,24
22,20
23,44
24,56
24,199
25,72
26,97
27,36
28,28
61,58
84,156
85,109
86,136
87,150
77,13
81,108
82,143
83,138
93,113
93,114
94,47
95,140
101,60
102,148
102,124
103,175
66,229
66,34
66,67
66,68
55,31
55,104
55,161
67,10
68,10
43,78
43,166
32,106
62,7
62,43
62,219
62,220
62,80
63,25
64,76
69,71
72,135
51,101
51,53
52,137
53,130
54,101
73,173
70,222
70,185
70,224
71,77
56,49
56,107
44,64
45,202
45,201
78,163
48,192
46,55
49,99
