4,1,1
1,5,1
1,7,1
8,1,1
10,1,1
1,19,1
1,20,1
1,23,1
1,27,1
1,29,1
30,1,1
1,36,1
37,1,1
2,13,1
2,39,1
15,3,1
3,21,1
3,26,1
3,30,1
3,35,1
3,38,1
13,4,1
14,4,1
16,4,1
4,21,1
22,4,1
4,24,1
28,4,1
4,41,1
5,11,1
5,12,1
17,5,1
18,5,1
24,5,1
5,32,1
5,33,1
38,5,1
5,40,1
41,5,1
6,8,1
6,9,1
6,10,1
13,6,1
16,6,1
6,17,1
6,18,1
24,6,1
38,6,1
7,11,1
7,12,1
17,7,1
18,7,1
21,7,1
24,7,1
7,32,1
7,33,1
38,7,1
7,40,1
41,7,1
21,8,1
8,31,1
9,12,1
9,20,1
9,23,1
26,9,1
9,29,1
30,9,1
9,40,1
19,11,1
20,11,1
23,11,1
27,11,1
29,11,1
36,11,1
19,12,1
12,25,1
27,12,1
36,12,1
15,13,1
13,30,1
13,37,1
14,26,1
14,37,1
14,38,1
39,16,1
17,19,1
17,20,1
17,23,1
17,27,1
17,29,1
17,31,1
17,36,1
18,19,1
18,20,1
18,23,1
18,27,1
18,29,1
18,31,1
18,36,1
21,19,1
24,19,1
19,32,1
19,33,1
38,19,1
19,40,1
41,19,1
21,20,1
24,20,1
20,32,1
20,33,1
38,20,1
41,20,1
21,23,1
21,27,1
21,29,1
21,36,1
22,30,1
22,37,1
22,38,1
39,22,1
24,23,1
23,32,1
23,33,1
38,23,1
41,23,1
26,24,1
24,27,1
24,29,1
24,31,1
35,24,1
24,36,1
32,25,1
33,25,1
40,25,1
28,26,1
39,26,1
26,41,1
27,32,1
27,33,1
38,27,1
27,40,1
41,27,1
28,30,1
28,37,1
28,38,1
29,32,1
29,33,1
38,29,1
41,29,1
30,31,1
31,32,1
31,33,1
31,40,1
36,32,1
36,33,1
39,35,1
38,36,1
36,40,1
41,36,1
