Condition,Total,Representation
1,11,tree
1,8,tree
1,9,tree
1,10,tree
1,26,tree
1,17,tree
1,15,tree
1,23,tree
2,7,tree
2,8,tree
2,6,tree
2,23,tree
2,10,tree
2,13,tree
2,17,tree
2,17,tree
2,11,list
2,30,list
2,7,list
2,18,list
2,13,list
2,6,list
2,10,list
2,4,list
3,1,tree
3,0,tree
3,0,tree
3,9,tree
3,0,tree
3,0,tree
3,0,tree
3,0,tree
3,0,list
3,1,list
3,0,list
3,2,list
3,18,list
3,0,list
3,0,list
3,0,list
1,11,list
1,8,list
1,9,list
1,10,list
1,26,list
1,17,list
1,15,list
1,23,list
