Condition,Total,Representation
1,2,tree
1,3,tree
1,1,tree
1,1,tree
1,6,tree
1,1,tree
1,10,tree
1,5,tree
2,2,tree
2,3,tree
2,3,tree
2,5,tree
2,7,tree
2,5,tree
2,8,tree
2,7,tree
2,3,list
2,7,list
2,1,list
2,5,list
2,0,list
2,3,list
2,3,list
2,2,list
3,2,tree
3,1,tree
3,0,tree
3,1,tree
3,0,tree
3,0,tree
3,0,tree
3,0,tree
3,0,list
3,2,list
3,0,list
3,1,list
3,4,list
3,0,list
3,0,list
3,0,list
1,2,list
1,3,list
1,1,list
1,1,list
1,6,list
1,1,list
1,10,list
1,5,list
