Threshold,List,Tree
1,0.249,0.395
2,0.354,0.484
3,0.45,0.555
4,0.583,0.719
5,0.572,0.691
6,0.649,0.781
7,0.657,0.861
8,0.681,0.88
9,0.751,0.891
10,0.684,0.862
