threshold,Amalgam,Tree,List
1,0.607,0.741,0.593
2,0.634,0.864,0.642
3,0.643,0.855,0.68
4,0.573,0.81,0.613
5,0.61,0.812,0.651
6,0.665,0.78,0.679
7,0.606,0.811,0.61
8,0.56,0.759,0.526
9,0.547,0.729,0.502
10,0.573,0.687,0.492
