,Browsing + Categorisation,Components,Composites,Process composition,Data composition,Testing,Debugging,Interpretation,Dialog/form,Drag & drop,Forum,Public,PbEM,Icon,Textual,Flow diagram component,Explicit control flow,Wires,Flow diagram,Form,Average,Low,Domain expert,Technical expert,Advanced user,Consumer/Individual,Composite num downloads,Context-specific,Domain-specific,Mobile,Desktop,Web,Incompatibility prompts,Suggestions,Help,Screencasts,API/component documentation,Tutorials,Discussion forums,Examples,Level 2,Level 3,REST,Triggers,Actions,Branches,Loops,Tool-level,Semi-automation,No automation,Sharing composites,Data flow present,Application,Webpage/webapp,Component repository,Composite repository,Ad hoc,Fixed,Centralised,Decentralised,Explicit data flow,Implicit data flow,Mobile context,Web context,Composite description,Composite name,Upload/Publish composite,Rename composite,Save composite,Delete composite,Turn on/off composite,Acquire composite,Set/Edit composite parameters,Share composite on SNS,Edit composite,Execute composite,Activate component,Set/Edit component parameters,Use in composition,Tool documentation,Single composite I&Os,Multiple atomic I&Os,Component type,Browse + filter/search,Browse list,Other recommendations,No specification,In-app execution,Blog,External help/FAQ,No link,Control flow present,Component input(s),Component output(s)/result(s),Component options,Component icons,Composite creator,Component categories,Component icon,Component description,Component name,Form element
Set/Edit component parameters,9,13,6,11,8,7,4,12,9,5,5,8,8,13,11,5,8,3,3,9,6,4,10,12,12,13,4,6,5,4,3,11,4,6,7,5,5,6,4,8,4,6,4,5,13,5,3,6,8,4,7,16,6,6,11,6,6,6,8,4,4,4,4,5,4,9,5,8,9,8,6,5,5,5,10,5,10,12,12,11,4,5,4,4,10,3,10,11,6,6,8,21,7,7,11,5,6,7,11,6,13,8
Use in composition,10,14,6,11,8,7,4,12,9,6,5,8,9,13,11,8,9,4,4,9,6,4,11,12,13,14,4,6,5,4,4,11,4,6,8,6,5,7,4,9,4,6,4,5,13,6,4,6,8,5,7,16,7,6,12,6,7,6,8,5,4,4,4,5,4,9,5,8,9,8,6,5,5,5,10,5,10,12,13,12,4,5,4,4,11,4,10,11,7,7,8,21,7,7,11,5,6,7,12,6,14,8
Tool documentation,9,12,5,9,6,5,3,10,7,5,4,6,8,13,10,7,9,3,3,7,5,3,9,10,11,11,3,5,4,4,4,7,3,6,7,5,4,6,3,8,3,4,2,5,11,5,3,6,7,4,5,12,7,4,11,5,7,4,6,5,3,3,4,3,3,8,4,8,8,7,6,4,4,5,9,4,8,10,11,12,3,5,4,4,9,4,9,9,6,7,6,17,6,6,10,5,5,6,12,5,12,5
Single composite I&Os,2,4,2,4,4,3,3,4,1,3,3,2,3,3,6,3,3,2,2,1,1,2,2,4,4,5,2,1,2,1,2,3,3,1,3,2,3,2,3,3,0,3,1,1,4,3,3,1,2,2,2,8,2,2,4,2,2,2,2,2,3,1,1,1,2,4,2,3,4,3,1,2,3,1,4,3,3,4,4,3,4,2,0,2,4,0,3,4,2,2,0,8,4,4,3,1,3,3,2,2,4,3
Multiple atomic I&Os,3,6,3,5,5,3,2,5,3,2,2,3,4,5,5,4,4,2,2,3,2,2,3,5,5,5,1,1,4,1,2,5,3,3,3,2,3,2,2,4,1,2,1,3,6,3,2,2,4,1,3,10,2,3,5,3,2,3,3,2,3,2,1,2,3,4,2,4,4,4,3,2,2,3,4,2,4,5,5,5,2,5,2,2,5,1,4,5,3,3,0,10,5,5,6,3,3,3,4,3,5,2
Component type,4,5,4,4,2,1,0,4,4,0,1,4,4,8,4,0,4,0,0,4,4,0,4,4,4,4,2,3,2,2,0,4,0,3,2,2,1,2,0,4,3,1,1,4,5,1,0,4,4,0,4,4,2,2,4,4,2,2,4,0,0,2,2,2,2,3,3,4,4,4,4,3,2,4,5,1,4,4,4,4,0,2,4,0,3,2,4,4,4,2,2,7,2,2,4,4,3,2,7,2,5,2
Browse + filter/search,3,4,0,4,3,4,3,4,2,3,2,0,2,4,4,4,3,2,2,2,1,3,3,4,4,4,0,2,1,1,3,0,2,0,2,2,2,1,2,2,0,3,0,0,4,2,1,2,3,1,0,6,3,0,4,0,4,0,0,4,2,1,1,0,0,4,0,3,3,2,1,0,1,0,3,3,2,4,4,5,2,2,0,4,3,0,3,4,0,3,2,8,3,3,5,0,1,3,4,1,4,3
Browse list,7,11,4,8,7,6,4,9,6,6,4,6,7,7,9,8,6,4,4,6,3,4,8,9,10,11,3,4,4,2,4,9,4,5,6,5,3,5,3,7,2,5,4,3,9,6,4,3,5,5,5,14,5,5,9,4,5,5,6,4,4,3,2,4,3,6,3,5,6,5,3,3,3,3,6,4,7,9,10,8,4,4,2,3,11,3,7,8,5,5,6,15,6,6,8,3,4,4,6,5,10,5
Other recommendations,4,4,2,2,3,0,0,3,3,2,1,3,3,4,3,3,3,1,1,3,4,1,4,6,5,5,1,1,1,1,1,4,2,4,3,2,1,5,0,6,2,1,1,2,4,2,1,2,3,2,2,2,2,2,4,2,2,2,3,1,0,1,1,2,1,2,2,2,2,2,2,2,1,2,2,0,3,3,4,4,0,1,2,0,3,7,3,2,3,2,4,3,1,1,2,2,2,1,5,3,4,1
No specification,9,11,6,9,6,5,3,10,6,4,4,7,8,13,10,3,7,2,2,6,6,2,9,10,10,11,4,5,5,4,2,9,3,6,7,4,4,6,3,8,3,4,3,5,11,4,2,6,7,3,6,12,6,5,10,6,5,5,7,3,3,3,4,4,4,8,5,7,8,7,6,5,5,5,9,4,8,10,10,10,3,4,4,3,8,3,10,9,6,5,6,17,6,6,9,5,5,7,10,6,11,5
In-app execution,8,12,6,11,8,7,4,11,8,4,5,7,8,13,11,5,8,3,3,8,6,4,9,11,11,12,4,6,5,4,3,9,4,4,6,5,5,5,4,8,4,6,3,5,12,5,3,6,8,3,7,16,6,5,10,6,6,5,7,4,4,4,4,4,4,9,5,8,9,8,6,5,5,5,10,5,9,11,11,10,4,5,4,4,9,2,9,11,6,6,6,21,7,7,11,5,6,7,11,5,12,8
Blog,7,8,6,6,5,2,2,6,5,2,3,6,7,9,7,4,6,3,2,4,5,0,6,6,7,9,4,3,4,3,1,7,3,4,6,4,4,6,3,8,3,2,3,5,7,4,3,4,5,2,6,9,4,4,7,6,3,4,6,1,3,2,3,3,4,5,5,5,6,6,5,5,4,5,7,2,6,6,7,6,2,3,4,0,6,3,6,6,8,4,2,11,4,4,5,5,5,4,8,4,8,3
External help/FAQ,5,7,3,6,3,3,2,6,4,3,4,3,5,7,6,7,6,3,3,4,3,2,5,6,7,7,3,3,2,4,3,1,3,2,3,4,3,4,3,5,2,2,0,3,6,5,3,3,5,2,3,6,6,1,7,3,6,1,3,4,3,0,4,0,1,6,3,5,5,5,4,3,2,3,6,2,5,6,7,8,2,3,2,3,5,2,5,6,4,7,4,11,3,3,7,3,4,4,9,3,8,3
No link,3,4,1,3,1,2,0,4,5,1,2,3,1,4,3,0,2,0,0,5,2,1,4,4,4,4,1,3,0,2,0,4,0,3,2,2,1,3,1,1,2,2,2,1,4,1,0,2,2,2,2,2,2,2,3,1,2,2,3,1,0,1,2,2,0,2,1,2,2,2,2,1,0,1,2,1,4,4,4,4,0,0,1,1,3,2,3,3,1,2,8,5,0,0,3,1,1,1,3,2,4,3
Control flow present,10,12,6,12,9,7,5,11,15,4,5,8,10,13,11,5,10,9,3,13,6,4,10,13,11,12,4,6,5,4,3,9,4,4,8,5,7,7,6,10,5,10,3,5,12,5,3,6,15,3,7,17,6,5,10,6,6,5,7,4,5,4,4,4,4,9,5,8,9,8,6,5,5,5,10,5,9,11,11,10,4,5,4,4,9,2,9,11,6,6,6,29,7,7,11,5,6,7,11,5,12,8
Component input(s),5,8,4,7,7,5,4,7,3,4,3,4,6,7,8,5,5,3,3,3,3,3,5,7,7,8,2,2,5,1,3,7,4,3,5,3,4,3,3,6,1,4,2,3,8,4,3,3,5,2,4,14,3,4,7,4,3,4,4,3,4,3,1,3,4,6,3,5,6,5,3,3,4,3,6,4,5,7,7,6,4,5,2,3,7,1,6,7,4,3,0,14,7,7,7,3,4,5,5,4,7,4
Component output(s)/result(s),5,8,4,7,7,5,4,7,3,4,3,4,6,7,8,5,5,3,3,3,3,3,5,7,7,8,2,2,5,1,3,7,4,3,5,3,4,3,3,6,1,4,2,3,8,4,3,3,5,2,4,14,3,4,7,4,3,4,4,3,4,3,1,3,4,6,3,5,6,5,3,3,4,3,6,4,5,7,7,6,4,5,2,3,7,1,6,7,4,3,0,14,7,7,7,3,4,5,5,4,7,4
Component options,7,11,5,10,7,6,3,10,8,3,4,6,7,13,10,4,8,2,2,8,5,4,8,10,10,10,3,6,4,4,3,7,3,4,5,4,4,4,3,7,4,5,2,5,11,4,2,6,7,3,6,14,6,4,9,5,6,4,6,4,3,4,4,3,3,8,4,8,8,7,6,4,4,5,9,4,8,10,10,10,3,5,4,4,8,2,8,10,5,6,6,19,6,6,11,5,5,6,11,4,11,7
Component icons,4,6,5,5,3,1,0,5,4,0,2,5,5,9,6,0,5,0,0,4,4,0,4,5,5,5,3,3,3,3,0,5,1,4,3,2,2,3,1,5,3,1,1,5,6,2,1,4,4,1,5,6,3,3,5,5,2,3,5,0,1,2,3,2,3,4,4,5,5,5,5,4,3,5,6,1,5,5,5,5,1,3,4,0,4,2,5,5,5,3,2,9,3,3,5,5,4,3,7,3,6,2
Composite creator,4,6,5,6,4,2,2,6,4,2,4,5,5,7,7,3,5,2,2,4,4,1,4,6,6,7,4,2,3,3,1,5,3,3,3,3,4,4,3,5,3,2,1,4,7,4,3,3,5,1,5,8,3,3,6,5,3,3,5,1,3,1,3,2,3,6,5,5,6,6,4,5,4,4,7,2,6,6,6,5,3,3,3,1,4,2,5,6,5,4,2,11,4,4,5,4,6,4,8,4,7,4
Component categories,6,7,4,7,5,4,3,7,3,3,3,4,6,9,7,3,5,2,2,3,4,2,6,7,7,8,3,3,4,3,2,5,3,2,5,2,4,4,3,6,2,3,1,3,8,3,2,4,5,2,4,10,5,3,7,4,4,3,4,3,3,2,3,2,3,7,4,5,6,5,4,4,5,3,7,3,5,7,7,7,3,3,2,3,4,1,7,7,4,4,2,14,5,5,7,3,4,7,8,4,8,5
Component icon,7,8,3,7,4,4,3,7,5,4,3,3,6,10,7,7,7,3,3,5,4,3,7,7,8,8,2,4,2,3,4,2,2,2,4,4,3,4,2,6,3,3,0,3,8,4,2,5,6,2,3,8,6,1,8,3,7,1,3,5,2,2,3,1,1,7,3,6,6,5,4,3,3,3,7,3,5,7,8,9,2,3,3,4,5,3,6,7,4,6,4,13,4,4,8,3,4,5,12,3,9,5
Component description,5,6,4,5,4,2,2,6,3,3,3,5,5,5,6,3,3,2,2,3,3,1,5,6,6,7,3,1,4,2,1,7,3,5,4,2,3,5,2,5,2,1,2,3,7,4,2,2,4,2,4,8,3,4,6,4,2,4,5,1,3,1,2,3,3,5,4,3,4,4,3,4,3,3,4,1,5,6,6,5,2,3,2,1,5,3,6,5,4,3,4,9,4,4,5,3,4,4,5,6,6,2
Component name,10,14,6,11,8,7,4,12,9,6,5,8,9,13,11,8,9,4,4,9,6,4,11,12,13,14,4,6,5,4,4,11,4,6,8,6,5,7,4,9,4,6,4,5,13,6,4,6,8,5,7,16,7,6,12,6,7,6,8,5,4,4,4,5,4,9,5,8,9,8,6,5,5,5,10,5,10,12,13,12,4,5,4,4,11,4,10,11,7,7,8,21,7,7,11,5,6,7,12,6,14,8
Form element,5,7,3,7,5,5,3,7,6,3,3,4,4,8,6,3,5,2,2,6,4,3,6,7,7,8,2,4,2,2,2,6,2,1,4,3,4,3,3,4,3,5,2,2,8,2,2,4,5,2,4,10,3,3,6,3,4,3,4,3,2,3,2,3,2,6,3,5,6,5,3,3,4,2,7,4,6,7,7,6,3,2,2,3,4,1,5,7,3,3,4,14,4,4,6,2,4,5,8,2,8,8
